year,state,avg_wg,wg_diff
2004,HI,7.1630253949252785,0.0067444621938967941
1969,IA,7.4301186431672859,
1970,IA,7.4350573266298223,0.0049386834625364529
1971,IA,7.4494273586064486,0.01437003197662623
1972,IA,7.4702130053561016,0.020785646749652997
1973,IA,7.4724497880048313,0.0022367826487297293
1974,IA,7.4883840515765332,0.015934263571701912
1975,IA,7.4957317516313946,0.0073477000548614058
1976,IA,7.53091341275412,0.035181661122725139
1977,IA,7.5515491035605233,0.020635690806403595
1978,IA,7.5621759948299188,0.010626891269395422
1979,IA,7.5877799995159032,0.025604004685984449
1980,IA,7.5886591491497617,0.00087914963385848921
1981,IA,7.5980154290293518,0.00935627987959009
1982,IA,7.6201564645672351,0.022141035537883269
1983,IA,7.6005123339423815,-0.019644130624853595
1984,IA,7.6019211407339027,0.0014088067915212221
1985,IA,7.5986821919129666,-0.0032389488209361161
1986,IA,7.5886738255246593,-0.010008366388307266
1987,IA,7.5800214975735321,-0.0086523279511272477
1988,IA,7.566835766083079,-0.013185731490453101
1989,IA,7.5601930209613633,-0.0066427451217156985
1990,IA,7.5473989240404595,-0.012794096920903719
1991,IA,7.5292177930830739,-0.018181130957385605
1992,IA,7.5461478501059061,0.016930057022832123
1993,IA,7.528107260804374,-0.018040589301532073
1994,IA,7.5234890225105984,-0.0046182382937756117
1995,IA,7.5132017614446633,-0.010287261065935027
1996,IA,7.488890961820478,-0.024310799624185364
1997,IA,7.4980544215040936,0.009163459683615649
1998,IA,7.4935888310936125,-0.0044655904104811128
1999,IA,7.5041689461490559,0.010580115055443429
2000,IA,7.4915909822229478,-0.012577963926108104
2001,IA,7.464898342463937,-0.026692639759010817
2002,IA,7.4499619934481425,-0.014936349015794548
2003,IA,7.4340799610232979,-0.015882032424844539
2004,IA,7.4044574753372823,-0.029622485686015665
1969,ID,7.2451499914337028,
1970,ID,7.2816348049384825,0.036484813504779723
1971,ID,7.2852835738125954,0.0036487688741129176
1972,ID,7.2982968002829551,0.01301322647035974
1973,ID,7.3183205808205862,0.020023780537631097
1974,ID,7.3576541362681871,0.039333555447600865
1975,ID,7.374817043437182,0.017162907168994934
1976,ID,7.410607909080051,0.03579086564286893
1977,ID,7.4364246222083166,0.025816713128265611
1978,ID,7.4280408538068832,-0.0083837684014334
1979,ID,7.4749648518067238,0.046923997999840594
1980,ID,7.4765583778607247,0.0015935260540009821
1981,ID,7.492909615827541,0.016351237966816257
1982,ID,7.4858145352983607,-0.0070950805291802865
1983,ID,7.4630913369733,-0.022723198325060423
1984,ID,7.4919930273895883,0.028901690416287984
1985,ID,7.4846095207243195,-0.0073835066652687686
1986,ID,7.4779597877960766,-0.0066497329282428908
1987,ID,7.4649214714455887,-0.013038316350487911
1988,ID,7.50243704837528,0.037515576929691541
1989,ID,7.4791259097680047,-0.023311138607275517
1990,ID,7.4663557876186495,-0.012770122149355245
1991,ID,7.447881518590953,-0.018474269027696444
1992,ID,7.4627959801953958,0.014914461604442764
1993,ID,7.4603168001781492,-0.0024791800172465628
